country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website,month_year,year
Afghanistan,AFG,2022-03-22,5751015.0,5082824.0,4420127.0,6868.0,6319.0,14.44,12.76,11.1,159.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/,2022-03,2022
Albania,ALB,2022-03-24,2754244.0,1278902.0,1215199.0,2541.0,1821.0,95.87,44.52,42.3,634.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-2754244-vaksinime/,2022-03,2022
Algeria,DZA,2022-03-09,13704895.0,7461932.0,6110712.0,147230.0,4307.0,30.72,16.72,13.7,97.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/,2022-03,2022
Andorra,AND,2022-03-13,151997.0,57817.0,53367.0,1973.0,34.0,196.5,74.74,68.99,440.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/,2022-03,2022
Angola,AGO,2022-03-25,17535411.0,11235059.0,5993792.0,,34171.0,51.68,33.11,17.66,1007.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/,2022-03,2022
Anguilla,AIA,2022-03-25,22714.0,10572.0,9624.0,1421.0,11.0,150.18,69.9,63.63,727.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/,2022-03,2022
Antigua and Barbuda,ATG,2022-03-14,125386.0,63836.0,61550.0,305.0,27.0,127.0,64.66,62.34,273.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",Ministry of Health,https://covid19.gov.ag,2022-03,2022
Argentina,ARG,2022-03-29,96504666.0,40907186.0,36924451.0,0.0,54723.0,211.61,89.7,80.96,1200.0,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://covidstats.com.ar/,2022-03,2022
Armenia,ARM,2022-03-13,2088962.0,1113472.0,948778.0,,3310.0,70.38,37.51,31.97,1115.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/,2022-03,2022
Aruba,ABW,2022-03-29,169231.0,87884.0,81347.0,100.0,77.0,157.87,81.99,75.89,718.0,Pfizer/BioNTech,Government of Aruba,https://www.government.aw,2022-03,2022
